"Huishoudelijk afval per gemeente per inwoner"
"";"Onderwerpen";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente"
"";"Onderwerpen";"Totaal huishoudelijk afval";"Huishoudelijk restafval";"Grof huishoudelijk restafval";"Verbouwingsrestafval";"GFT-afval";"Oud papier en karton";"Verpakkingsglas";"Textiel";"Klein chemisch afval (KCA)";"Metalen verpakkingen (blik)";"Drankenkartons";"Kunststof verpakkingen";"Overige kunststoffen";"Luiers";"Wit- en bruingoed";"Grof tuinafval";"Bruikbaar huisraad";"Vloerbedekking";"Vlakglas";"Metalen";"Houtafval (A- en B-hout)";"Houtafval (C-hout)";"Schoon puin";"Bitumenhoudende dakbedekking";"Asbesthoudend afval";"Autobanden";"Schone grond";"Overige afvalstoffen";"Gemeentecode";"Provincie";"Stedelijkheid";"Inwoners per 1 januari"
"Regio's";"Perioden";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"";"";"";"aantal"
"Aa en Hunze";"2002";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1680";"Drenthe";"Niet stedelijk";"25585"
"Aa en Hunze";"2003";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1680";"Drenthe";"Niet stedelijk";"25305"
"Aa en Hunze";"2004";".";"280";"10";"-";"227";".";"22";"3";"1";"-";"-";"0";".";".";"4";"24";"-";"-";"1";"3";"31";".";"36";"2";"5";"0";"-";"6";"1680";"Drenthe";"Niet stedelijk";"25218"
"Aa en Hunze";"2005";"782";"283";"29";"-";"216";"75";"23";"4";"1";"-";"-";"0";".";".";"4";"23";"-";"-";"2";"3";"42";".";"63";"1";"4";"0";"-";"8";"1680";"Drenthe";"Niet stedelijk";"25329"
"Aa en Hunze";"2006";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1680";"Drenthe";"Niet stedelijk";"25507"
"Aa en Hunze";"2007";"700";"220";"29";"-";"194";"68";"23";"5";"1";"-";"-";"-";"0";"-";"2";"50";"-";"-";"1";"4";"41";"7";"48";"2";"3";"1";"-";"-";"1680";"Drenthe";"Niet stedelijk";"25563"
"Aa en Hunze";"2008";"744";"274";"20";"3";"222";"78";"20";"5";"1";"-";"-";"0";"-";"-";"7";"50";"1";"0";"1";"2";"33";"6";"15";"1";"2";"0";"-";"2";"1680";"Drenthe";"Niet stedelijk";"25598"
"Aa en Hunze";"2009";"723";"265";"18";"2";"229";"76";"19";"4";"4";"-";"-";"1";"1";"-";"4";"41";"2";"-";"1";"2";"30";"4";"15";"1";"2";"0";"-";"0";"1680";"Drenthe";"Niet stedelijk";"25675"
"Aa en Hunze";"2010";"682";"252";"17";"2";"208";"75";"23";".";"1";"-";"-";"6";"-";"-";"5";"40";"2";"-";"1";"3";"24";"4";"12";"1";"2";"0";"-";"0";"1680";"Drenthe";"Niet stedelijk";"25563"
"Aa en Hunze";"2011";"714";"255";"20";"2";"229";"71";"22";"5";"1";"-";"-";"7";"0";"-";"5";"42";"3";"-";"1";"2";"25";"4";"14";"1";"3";"0";"-";"1";"1680";"Drenthe";"Niet stedelijk";"25785"
"Aa en Hunze";"2012*";"663";"246";"17";"3";"207";"70";"21";"4";"1";"-";"-";"7";"0";"-";"5";"31";"4";"-";"1";"2";"22";"4";"13";"1";"2";"0";"-";"1";"1680";"Drenthe";"Niet stedelijk";"25738"
"Aalburg";"2002";"596";"222";"31";"-";"132";"87";"19";".";"2";"0";"1";"0";".";".";"2";"26";"2";"-";"1";"3";"26";".";"32";"-";"4";"0";"-";"-";"0738";"Noord-Brabant";"Niet stedelijk";"12001"
"Aalburg";"2003";"598";"210";"25";"-";"145";"88";"17";"4";"2";"0";"1";"1";".";".";"2";"30";"3";"-";"1";"4";"25";".";"31";"-";"8";"0";"-";"-";"0738";"Noord-Brabant";"Niet stedelijk";"12087"
"Aalburg";"2004";"606";"204";"25";"-";"162";"93";"19";"4";"2";"1";"2";"1";".";".";"3";"24";"2";"3";"1";"3";"25";".";"25";"-";"3";"0";"-";"3";"0738";"Noord-Brabant";"Niet stedelijk";"12204"
"Aalburg";"2005";"597";"202";"23";"-";"165";"94";"17";".";"2";"-";"2";"4";".";".";"3";"15";"1";"1";"1";"4";"25";".";"23";"-";"2";"0";"-";"6";"0738";"Noord-Brabant";"Niet stedelijk";"12164"
"Aalburg";"2006";"572";"201";"30";"-";"158";"63";"18";"5";"3";"-";".";".";".";".";"3";"20";"1";".";"1";"4";"28";".";"22";"-";"2";"0";"-";"6";"0738";"Noord-Brabant";"Niet stedelijk";"12222"
